upc,description,cost,normal_price,special_price,specialcost,pricemethod,groupprice,quantity,start_date,end_date,departmentId,sectionId,vendorId,pack,size,tax,fee,foodstamp,scale,active,wicable,validage,PLU,UnitOfMeasure,case_cost,QuantityOnHand,dept_name,section_name,vendor_name,tareweight,linkedUpc,expiration_date,cert_code,deleted,HideFromECommerce,discount,LowInventoryAlert,ReOrderQuantity,ProductCode,EPlumLabelFormatNo,EPlumDeptNo,ScaleByCount,ECommerceId,ECommercePackWeight,ECommercePrice,ECommerceSalePrice,ECommerceOnSale,ECommerceUnitDescription,ECommerceDescription,ECommerceSummary,CasScaleIngredients,CasScaleNutrition,CasScalePluType
8906010505509,Balaji Chana Jor Garam,1.8800,2.7900,,,,,,,,175,,1,,,,,False,False,True,,,,,,5.0000,Snacks,,Premier Foods,,,,,False,False,1,5,,,,,False,1488,,,,,,,,,,
8906010505561,Balaji Bhel Mix,2.0000,2.9900,,,,,,,,175,,,,,,,False,False,True,,,,,,0.0000,Snacks,,,,,,,False,False,1,,,,,,False,1489,,,,False,,,,,,
8906014765794,BAJAJ ALMOND DROPS 200 ML,2.5000,3.9900,,,,,,,,198,,,4,,,,False,False,False,0,,,,10.00,4.0000,Personal Care,,,,,,,False,False,1,1,,,,,False,1490,,,,,,,,,,
8906019080083,B Nawab Chilli Chicken Masala,1.3300,1.9900,,,,,,,,185,,,,,,,False,False,True,,,,,,23.0000,Spice Mix,,,,,,,False,False,1,,,,,,False,1491,,,,False,,,,,,
8906019080182,B Nawab Apollo Fish Msl,1.3300,2.4900,1.9900,,0,,,,,185,,,,,,,False,False,True,,,,,,22.0000,Spice Mix,,,,,,,False,False,1,,,,,,False,1492,,,,False,,,,,,
8906019080243,B Nawab Chicken Lollipop Masala,1.3300,1.9900,,,,,,,,185,,,,,,,False,False,True,0,,,,,23.0000,Spice Mix,,,,,,,False,False,1,,,,,,False,1493,,,,False,,,,,,
8906019080649,B Nawab Patthar Ka Gosht Msl,1.3300,1.9900,,,,,,,,185,,,,,,,False,False,True,0,,,,,22.0000,Spice Mix,,,,,,,False,False,1,,,,,,False,1494,,,,False,,,,,,
8906021120074,Aachi Madras Fryums 200gm,3.2900,3.9900,,,,,,,,205,,,,,,,False,False,True,,,,,,3.0000,Ready To Eat,,,,,,,False,False,1,1,,,,,False,1495,,,,,,,,,,
8906021123976,Aachi Biryani Masala 100g,2.0000,2.9900,,,,,,,,185,,14,,,,,False,False,True,,,,,,0.0000,Spice Mix,,Vadilal,,,,,False,False,1,4,,,,,False,1538,,,,,,,,,,
8906021123990,Aachi Chicken Curry Masala 100g,2.0000,2.9900,,,,,,,,185,,14,,,,,False,False,True,,,,,,0.0000,Spice Mix,,Vadilal,,,,,False,False,1,4,,,,,False,1539,,,,,,,,,,
